id,word,meaning,pronunciation,example,example_ja,part_of_speech,level,tags,enabled
1,abandon,捨てる・放棄する,/əbǽndən/,They had to abandon the plan.,彼らはその計画を断念しなければならなかった。,verb,B1,basic;toeic,true
2,achieve,達成する,/ətʃíːv/,She achieved her goal.,彼女は目標を達成した。,verb,B1,basic;toeic,true
3,adequate,十分な・適切な,/ǽdɪkwət/,The room is adequate for two people.,その部屋は2人には十分だ。,adjective,B2,business,true
4,allocate,割り当てる,/ǽləkeɪt/,We allocated more time to testing.,私たちはテストにより多くの時間を割り当てた。,verb,B2,business,true
5,annual,年1回の・年間の,/ǽnjuəl/,The annual report was published.,年次報告書が公開された。,adjective,B1,business,true
6,anticipate,予期する,/æntɪ́səpeɪt/,We anticipate strong demand.,私たちは強い需要を予想している。,verb,B2,business,true
7,apparent,明らかな・一見したところの,/əpǽrənt/,The reason became apparent.,理由が明らかになった。,adjective,B2,academic,true
8,approach,取り組み方・近づく,/əpróʊtʃ/,We need a different approach.,別の取り組み方が必要だ。,noun,B1,basic,true
9,assess,評価する,/əsés/,We need to assess the risk.,リスクを評価する必要がある。,verb,B2,business;security,true
10,assume,仮定する・思い込む,/əsúːm/,Do not assume the answer is correct.,答えが正しいと思い込んではいけない。,verb,B1,academic,true
11,benefit,利益・恩恵,/bénəfɪt/,The change will benefit users.,その変更は利用者の利益になる。,noun,B1,basic,true
12,capacity,能力・容量,/kəpǽsəti/,The server reached full capacity.,サーバーは最大容量に達した。,noun,B2,technology,true
13,consecutive,連続した,/kənsékjətɪv/,He studied for seven consecutive days.,彼は7日間連続で勉強した。,adjective,B2,academic,true
14,derive,引き出す・由来する,/dɪráɪv/,The value is derived from the data.,その値はデータから導かれる。,verb,B2,academic,true
15,determine,決定する・特定する,/dɪtɜ́ːrmɪn/,We determined the cause of the error.,私たちはエラーの原因を特定した。,verb,B1,academic,true
16,efficient,効率的な,/ɪfɪ́ʃənt/,This method is more efficient.,この方法の方が効率的だ。,adjective,B1,business,true
17,ensure,確実にする,/ɪnʃʊ́r/,Tests ensure the system works.,テストによってシステムが動作することを確認する。,verb,B1,business;technology,true
18,estimate,見積もる・推定する,/éstəmèɪt/,We estimated the cost.,私たちは費用を見積もった。,verb,B1,business,true
19,maintain,維持する,/meɪntéɪn/,The team maintains the service.,チームがサービスを維持している。,verb,B1,technology,true
20,significant,重要な・かなりの,/sɪɡnɪ́fɪkənt/,There was a significant improvement.,大幅な改善があった。,adjective,B2,academic,true
21,verify,検証する・確認する,/vérəfàɪ/,Verify the file before deployment.,デプロイ前にファイルを検証してください。,verb,B2,technology;security,true
22,vulnerable,脆弱な,/vʌ́lnərəbəl/,The old server was vulnerable to attack.,古いサーバーは攻撃に対して脆弱だった。,adjective,B2,security,true
23,implement,実装する・実施する,/ɪ́mpləmènt/,We implemented a new feature.,新機能を実装した。,verb,B2,technology,true
24,retain,保持する,/rɪtéɪn/,The system retains only necessary data.,システムは必要なデータだけを保持する。,verb,B2,technology,true
